Gene Name,0h-1,0h-2,0h-3,3h-1,3h-2,3h-3,9h-1,9h-2,9h-3,12h-1,12h-2,12h-3
Phex18753 OMT,0.190525,0.949714,1.323548,-0.568036,-1.822591,-1.281237,0.429171,0.442076,-0.554012,0.0905,-0.25653,-0.0905
Phex18797 CYP,0.409599,0.588531,1.398775,-0.706099,-0.837056,-0.117799,0.07327,-0.675356,-0.07327,-0.16683,0.673552,0.269824
Phex19073 CYP,0.827202,0.371664,0.899409,-0.072939,-2.001084,-0.856097,-0.17257,0.002961,-0.002961,-0.3093,0.199153,0.494678
Phex19089 2-ODD,0.728837,0.165991,0.081942,-0.679021,-1.401397,0.34571,-0.010011,0.010011,-0.236363,-1.450183,-0.676272,0.308881
Phex19102 OMT,0.172265,1.237996,1.294776,0.023621,-0.492123,0,-0.585511,-0.579656,0.004358,-1.630784,-0.574795,0
Phex19624 OMT,-0.640756,0.98117,1.007491,-0.918752,-1.175224,-0.719646,0.384754,0.238433,0.216993,-0.216993,-0.74999,0.595698
Phex1966 2-ODD,0.622921,0.930874,1.274203,0.494062,-0.285041,0.653175,-0.24856,-0.089785,0.063289,-0.166175,-0.341197,-0.063289
Phex19669 2-ODD,-0.657768,-0.348498,0.947042,0.081002,-2.269382,-0.284831,0.581134,0.154989,0.157807,-0.081002,0.318427,-0.248269
Phex19827 OMT,-0.093951,0.420397,0.735174,-0.168063,-0.531122,-0.302825,0.040354,0.142746,-0.010656,-0.036766,0.010656,0.283461
Phex19873 CYP,-0.727078,0.359523,1.059537,-0.295411,-0.36617,-0.131893,1.036379,-0.272607,0.131893,-0.243748,0.649497,0.972185
Phex20214 OMT1,-1.263751,-0.878742,-0.828389,-0.188964,0.188964,0.704201,2.459357,-0.469789,1.592176,-0.308164,0.838517,1.681629
Phex20230 OMT,0.204014,0.246224,0.417456,0.251108,-0.649082,-0.012547,-0.751751,-0.758563,-0.29753,0.272295,0.012547,-0.297977
Phex20713 CYP,0.541387,1.041158,1.617033,-0.255217,-1.060692,0.87873,-1.063776,-0.091364,-0.522057,0.091364,0.751804,-0.248212
Phex20738 CYP1_2,-0.099862,0.099862,0.250793,-0.666326,-0.244512,-0.820581,-0.420197,0.467615,0.256061,0.204665,-0.451837,0.14454
Phex20810 2-ODD,-1.254578,0.000384,0.125114,-1.75081,-1.97672,-1.301153,-0.017196,0.7933,-0.000384,0.6853,0.177849,0.208441
Phex21033 CYP,-1.312475,0.145242,-1.455499,-0.126526,-1.987456,1.41622,0.404293,-0.259906,0.588795,-0.2523,1.028214,0.126526
Phex21041 OMT,-0.386923,-0.091026,0.091026,-0.974675,-1.402511,-0.917735,0.330298,-0.136957,0.16261,0.15181,0.60006,0.187907
Phex21157 OMT,-0.113151,0.212598,0.649396,-0.108538,-0.25829,0.04081,0.298826,-0.535976,0.207541,-0.158609,-0.04081,0.047309
Phex21326 2-ODD,-0.738866,0.269583,0.207196,0.188082,-0.782129,-0.204853,-0.254187,-0.044898,0.044898,-0.598355,0.546831,0.292319
Phex2152 CYP,-0.839909,-0.251116,0.190579,1.458303,1.037043,1.34033,-0.190579,0.532025,-0.354633,0.258646,-0.383151,-0.257651
Phex2153 CYP,-0.620526,0.094561,0.316794,1.146055,1.050831,1.511534,-0.352094,-0.258291,-0.171022,0.352958,-0.411625,-0.094561
Phex2168 CYP,1.244592,1.61494,2.0717,-0.716789,-0.991715,-0.034867,-1.198426,0.29577,0.034867,0.506535,-0.067903,-1.099665
Phex21828 OMT,0.22173,0.749574,0.682867,-0.326269,-0.551758,0.145907,-0.873438,-0.145907,0.536855,-0.360761,-0.644409,0.492315
Phex21901 CYP,-0.488365,0.694017,-0.05485,-0.155707,-1.180272,-0.641908,0.409656,1.018505,0.787915,1.661061,-0.804783,0.05485
Phex22016 OMT,-1.013347,-0.084935,1.211452,-0.965535,-2.363483,0.084935,0.343112,-0.488481,0.224902,0.45125,0.087673,-0.1875
Phex2207 CYP,1.585218,2.351035,2.442055,-0.131225,0.470994,1.340934,-0.002383,0.002383,-0.346379,-0.151415,-0.290164,-0.783876
Phex22410 OMT,-0.220881,0.373647,0.206366,-2.068253,-0.745731,-1.357066,0.581104,0.062678,-0.092929,0.009545,-0.009545,0.944381
Phex22574 CYP,1.004556,0.421407,0.304869,-0.638221,-1.092461,-0.600194,0.147363,-0.147363,0.389561,-0.656176,-2.16489,0.332527
Phex22891 2-ODD,-0.801582,0.736893,0.864173,0.530041,0.074247,-0.151901,-0.362283,-0.172167,0.495354,-0.025418,0.025418,-0.141189
Phex22935 OMT,-3.185793,-3.743085,-3.673545,-0.019088,-0.791765,0.236747,0.794599,-2.278662,0.767165,0.019088,1.044797,1.030193
Phex23045 CYP,0,-3.46656,-1.398408,-0.02998,-0.631542,0.395017,0.953618,0.753934,0.12088,0.859682,-0.291898,0
Phex23066 2-ODD,0.536547,-0.035075,0.722489,0.884879,-0.287236,0.774235,0.385407,-0.271338,0.035075,-0.084081,-0.354414,-0.324842
Phex23107 OMT,0.422686,0.970178,1.336378,0.531762,-0.705485,0.062944,-0.117685,0.148751,-1.301342,-0.993705,-0.062944,-0.527032
Phex23116 OMT,-0.902261,-0.147686,-0.121345,-0.008945,-2.710462,0.008945,0.372509,0.310423,0.65725,-0.221768,1.072545,0.540087
Phex2312 DIR_1,-1.573415,-0.686407,-0.216268,-0.019644,-0.7617,0.019644,1.208546,-0.216302,1.097461,0.376346,1.311168,1.313348
Phex23218 2-ODD,-1.771543,-0.79536,-0.350741,-0.60617,0.563568,0.424849,-0.171489,1.4206,0.142765,1.1114,0.360396,-0.142765
Phex23275 OMT,0.231126,0.826759,0.378387,-0.74215,-1.67764,-0.091618,-0.126311,-0.435247,0.398484,-1.159518,0.104918,0.091618
Phex23436 CYP,-1.97043,-0.743953,-0.696968,-0.233884,0.177894,0.708811,0.395438,-0.177894,0.917003,-0.722399,0.622523,0.722285
Phex23473 2-ODD,-3.035324,-2.133426,-2.316506,-0.441162,-0.770318,0.137846,-0.062878,0.215242,0.062878,0.24725,0.411642,0.393541
Phex23550 CYP,-0.575083,0.054601,-0.054601,1.390991,1.142839,2.054394,-0.222116,-1.807627,0.07101,-1.413656,0.103583,-0.51757
Phex23945 OMT,0.115331,0.624191,0.563503,-0.885729,0,-2.935731,0,0.627336,0.747691,-0.411701,-0.130994,-0.142885
Phex23998 OMT,-0.806451,0.22417,0.375418,-0.821459,-1.079627,-0.662643,0.106358,-0.534846,0.666887,-0.106358,0.767562,0.744919
Phex2402 OMT3_2,-2.829296,-1.814216,-1.500497,-0.106995,-0.891959,0.187606,1.290972,-0.68779,0.807233,0.106995,1.048984,1.402457
Phex2403 OMT3_1,-2.684773,-1.622376,-1.188004,-0.11721,-0.561848,0.11721,1.315508,-0.538472,1.242316,0.222381,1.325157,1.70382
Phex24176 2-ODD,0.336345,-0.24183,-0.162713,0.397304,-2.282008,-0.825606,-0.139104,0.619406,0.191094,0.139104,-1.388452,0.456113
Phex24374 OMT,-0.394465,0.060399,0.999599,-0.075239,-0.3135,0.23093,-0.025597,0.123277,0.383661,-1.390575,-0.786313,0.025597
Phex2467 DIR_2,-1.940546,-0.883684,-0.215928,0.003154,-1.266704,-0.003154,0.854725,-0.446122,0.888291,0.069605,0.954021,0.883439
Phex24797 OMT,0.285519,0.246729,0.444589,0.051393,-0.006067,0.122284,-0.373676,-0.708464,-0.161081,-0.414798,-0.745264,0.006067
Phex2487 OMT,0.376661,-0.386529,-0.702823,-0.197862,-2.016554,0.446135,0.632411,0.158298,-0.158298,0.394045,0.499087,-0.162466
Phex24944 2-ODD,1.061196,-0.145541,0.914769,-0.551188,-1.511385,-0.564586,-1.577398,3.363372,0,4.863209,0,1.005152
Phex24945 CYP,0.533962,0.599868,1.723394,0.29437,0.429446,0.105003,-1.133548,-0.105003,-1.170125,-1.74305,-2.706508,-0.75325
Phex25203 CYP,0.03881,0.534399,0.67151,-0.427529,-1.600505,-0.727245,0.776252,-2.761416,-0.177146,0.025156,0.279632,-0.025156
Phex25251 2-ODD,-1.141457,-0.070361,-0.998941,0.070361,0.505508,-0.346797,0.388842,3.25971,-0.939684,3.861081,-1.92338,0.791893
Phex25338 OMT,-0.601447,-0.298711,0.126312,-0.633965,-0.940452,0.518647,2.160689,-0.126312,2.10904,-0.699972,1.758719,0.678542
Phex25363 CYP,-0.197033,0.481356,0.88566,0.144428,-0.144428,0.165596,-0.26842,0.221556,-0.761357,-0.414519,-0.19496,0.189331
Phex25406 2-ODD,0.242232,0.096046,-0.096046,-0.456216,-0.478425,-3.442506,-0.316883,3.170789,0.09646,3.988838,-1.127369,1.003142
